,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
0,1547127287.987598,Cq43w4aHlsW8nXZ3l,192.168.1.197,59357.0,192.168.1.1,53.0,udp,dns,0.029483,58,146,SF,-,-,0.0,Dd,2.0,114.0,2.0,202.0,-   Benign   -
1,1547127288.023327,C5uLwl2hGy10y9PSr6,192.168.1.197,39686.0,192.168.1.1,53.0,udp,dns,0.001249,58,146,SF,-,-,0.0,Dd,2.0,114.0,2.0,202.0,-   Benign   -
2,1547127292.818338,CiWG9z3qijWU45UDZ2,192.168.1.197,45086.0,104.24.97.120,80.0,tcp,http,3.714356,150,63183,SF,-,-,0.0,ShADadttFf,55.0,3574.0,51.0,65235.0,-   Malicious   C&C-FileDownload
3,1547127292.812836,C8Cwet4S3VRFczMh2c,192.168.1.197,58510.0,192.168.1.1,53.0,udp,dns,0.003996,58,146,SF,-,-,0.0,Dd,2.0,114.0,2.0,202.0,-   Benign   -
4,1547127292.847065,CFxcn62AkAUVKQzOJl,192.168.1.197,35584.0,192.168.1.1,53.0,udp,dns,0.006246,58,146,SF,-,-,0.0,Dd,2.0,114.0,2.0,202.0,-   Benign   -
5,1547127300.044944,Cf1n673D4Ldu2leRu7,192.168.1.197,58316.0,104.24.96.120,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
6,1547127308.605048,CEh9cC2nYV9SjTcRIi,192.168.1.197,58316.0,104.24.96.120,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
7,1547127325.244768,CNrgcz1X2eZ1zV2nAd,192.168.1.197,58316.0,104.24.96.120,80.0,tcp,http,0.569426,83,63183,SF,-,-,1460.0,ShADadttFf,50.0,3111.0,46.0,65035.0,-   Malicious   FileDownload
8,1547127325.848682,CRm4BX1Auzsk2XLo6i,192.168.1.197,45090.0,104.24.97.120,80.0,tcp,http,0.677353,151,64551,SF,-,-,2920.0,ShADadttFf,59.0,3719.0,57.0,78523.0,-   Malicious   C&C-FileDownload
9,1547127325.882651,C4MiXH1zgITMIRNvr5,192.168.1.197,58320.0,104.24.96.120,80.0,tcp,http,1.207312,84,64551,SF,-,-,2920.0,ShADadttFf,52.0,2784.0,50.0,66563.0,-   Malicious   FileDownload
10,1547127327.272608,CjefJcNoQeEcAjuFf,192.168.1.197,53044.0,88.99.66.31,443.0,tcp,ssl,0.116933,524,2209,RSTO,-,-,0.0,ShADadRf,8.0,936.0,4.0,2425.0,-   Benign   -
11,1547127327.442761,CWmojs1G6fX18bkz81,192.168.1.197,53046.0,88.99.66.31,443.0,tcp,ssl,0.097949,375,2246,SF,-,-,0.0,ShADadFf,8.0,799.0,5.0,2514.0,-   Benign   -
12,1547127325.845177,CO8jnU3VCuHMkGkXF2,192.168.1.197,40302.0,192.168.1.1,53.0,udp,dns,0.001246,58,146,SF,-,-,0.0,Dd,2.0,114.0,2.0,202.0,-   Benign   -
13,1547127325.878912,CZYUCL3DaoQH8bXqh,192.168.1.197,40541.0,192.168.1.1,53.0,udp,dns,0.001492,58,146,SF,-,-,0.0,Dd,2.0,114.0,2.0,202.0,-   Benign   -
14,1547127327.155426,CKMBZB4uQS1qCr7WKa,192.168.1.197,33860.0,192.168.1.1,53.0,udp,dns,0.031738,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
15,1547127327.213392,CkW5pqzqP8A1mjDZb,192.168.1.197,34132.0,192.168.1.1,53.0,udp,dns,0.030731,56,143,SF,-,-,0.0,Dd,2.0,112.0,2.0,199.0,-   Benign   -
16,1547127327.441512,C5wYYgASehXCaj3Te,192.168.1.197,57555.0,192.168.1.1,53.0,udp,dns,0.000997,56,72,SF,-,-,0.0,Dd,2.0,112.0,2.0,128.0,-   Benign   -
17,1547127328.239055,C8Dwwx1lrJTUphJPwb,192.168.1.197,39557.0,192.168.1.1,53.0,udp,dns,0.000499,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
18,1547127335.384714,CVU2yR1dWWNeiXbAS7,192.168.1.197,50654.0,185.244.25.183,4975.0,tcp,-,3.140202,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Benign   -
19,1547127332.273499,Chk2VHW0h3dohcJX6,192.168.1.197,48432.0,192.168.1.1,53.0,udp,dns,0.000998,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
20,1547127334.314577,CH4TDMDESw5cxZKa5,192.168.1.197,43080.0,192.168.1.1,53.0,udp,dns,0.000500,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
21,1547127335.383966,CqYjbs18SQ4l4Iy5a,192.168.1.197,59712.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
22,1547127327.542202,CLh4ZY1xs5Jp2U0Wya,192.168.1.197,58041.0,192.168.1.1,53.0,udp,dns,10.014025,192,128,SF,-,-,0.0,Dd,6.0,360.0,2.0,184.0,-   Benign   -
23,1547127342.604837,CoetHc3JGhr3UbB5Si,192.168.1.197,50654.0,185.244.25.183,4975.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
24,1547127345.387744,CbdBV623LM5XqfpfRi,192.168.1.197,50656.0,185.244.25.183,4975.0,tcp,-,3.137198,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Benign   -
25,1547127342.556612,CMzfwl1oAkipH3Rhbc,192.168.1.197,36950.0,192.168.1.1,53.0,udp,dns,0.005000,32,64,SF,-,-,0.0,Dd,1.0,60.0,1.0,92.0,-   Benign   -
26,1547127347.561994,CVShdl3aM6zVRmkwmk,192.168.1.197,47334.0,104.27.167.125,80.0,tcp,-,3.122719,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Benign   -
27,1547127342.562106,CQuZDE4KFJVaAcK9M,192.168.1.197,38916.0,192.168.1.1,53.0,udp,dns,-,-,-,S0,-,-,0.0,D,1.0,60.0,0.0,0.0,-   Benign   -
28,1547127345.386247,CJ4But41x9VYrb69g1,192.168.1.197,47070.0,192.168.1.1,53.0,udp,dns,0.001248,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
29,1547127352.604864,CO8ZIL0UvRyCdaZs3,192.168.1.197,50656.0,185.244.25.183,4975.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
30,1547127354.764874,CzeAD64vkkjktObSf9,192.168.1.197,47334.0,104.27.167.125,80.0,tcp,http,1.525374,147,2858,SF,-,-,0.0,ShADadFf,7.0,447.0,5.0,3070.0,-   Benign   -
31,1547127355.389282,CoiTKxzABvR6jcTTg,192.168.1.197,40018.0,192.168.1.1,53.0,udp,dns,0.000733,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
32,1547127356.457655,C1zlIk3QShUDRBzRb8,192.168.1.197,34376.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
33,1547127361.848334,CNIuee374y1ZOUqWQh,192.168.1.197,47344.0,104.27.167.125,80.0,tcp,http,0.080439,80,2858,SF,-,-,0.0,ShADadFf,7.0,380.0,4.0,3030.0,-   Benign   -
34,1547127361.965500,CAnzku1qD2OGiSvbUg,192.168.1.197,58088.0,104.18.58.154,80.0,tcp,http,0.060716,155,1745,SF,-,-,0.0,ShADadFf,7.0,455.0,4.0,1917.0,-   Benign   -
35,1547127362.233348,CMgp5F2WblxtkllAN1,192.168.1.197,51584.0,104.18.59.154,80.0,tcp,http,0.058465,88,1745,SF,-,-,0.0,ShADadFf,7.0,388.0,5.0,1957.0,-   Benign   -
36,1547127363.618057,CCw6WB42XJbx9inO8g,192.168.1.197,57858.0,104.27.166.125,80.0,tcp,-,3.146729,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Benign   -
37,1547127360.617275,CDRK8J3sKoIocGC94e,192.168.1.197,43967.0,192.168.1.1,53.0,udp,dns,0.000747,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
38,1547127361.650682,CylqOe2q2fUSF08kul,192.168.1.197,39851.0,192.168.1.1,53.0,udp,dns,0.000499,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
39,1547127363.634546,CljiSx30xXbMqm34d4,192.168.1.197,47354.0,104.27.167.125,80.0,tcp,http,3.220408,79,680,SF,-,-,0.0,ShADadFf,8.0,459.0,4.0,852.0,-   Benign   -
40,1547127361.956515,Cp5aE413CilcAbcdHl,192.168.1.197,44292.0,192.168.1.1,53.0,udp,dns,0.007986,80,168,SF,-,-,0.0,Dd,2.0,136.0,2.0,224.0,-   Benign   -
41,1547127362.229119,CaSvEe4hoqfCb2mlC4,192.168.1.197,49348.0,192.168.1.1,53.0,udp,dns,0.001230,80,168,SF,-,-,0.0,Dd,2.0,136.0,2.0,224.0,-   Benign   -
42,1547127362.931957,CvGXS731d9IZkk5upl,192.168.1.197,60367.0,192.168.1.1,53.0,udp,dns,0.003738,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
43,1547127363.616059,CkdSpV2MJVDCJaMAma,192.168.1.197,53324.0,192.168.1.1,53.0,udp,dns,0.001246,64,152,SF,-,-,0.0,Dd,2.0,120.0,2.0,208.0,-   Benign   -
44,1547127363.631313,Cevmg14Hz3HDmMy091,192.168.1.197,55103.0,192.168.1.1,53.0,udp,dns,0.001236,64,152,SF,-,-,0.0,Dd,2.0,120.0,2.0,208.0,-   Benign   -
45,1547127364.971532,Ch7aLZ3u9ZgVMHcF98,192.168.1.197,44257.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
46,1547127370.215528,CgE8bF2TPrjtyFmhr,192.168.1.197,50684.0,185.244.25.183,4975.0,tcp,-,3.109229,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Benign   -
47,1547127370.844921,CqyUhm1Tq3vSgtGNm4,192.168.1.197,57858.0,104.27.166.125,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
48,1547127366.012936,C8YMVw4RJEBmjyLrk6,192.168.1.197,57965.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
49,1547127356.335725,CLwApx4vBBtP42Azui,192.168.1.197,45123.0,192.168.1.1,53.0,udp,dns,5.026872,128,216,SF,-,-,0.0,Dd,4.0,240.0,3.0,300.0,-   Benign   -
50,1547127370.214532,CqBGJk2c5PSSZPTCNi,192.168.1.197,60222.0,192.168.1.1,53.0,udp,dns,0.000497,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
51,1547127377.404671,Cs6a1K1aqeNqTnidFb,192.168.1.197,50684.0,185.244.25.183,4975.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
52,1547127379.004757,CVFhkj4q1Or9fwqdYa,192.168.1.197,57858.0,104.27.166.125,80.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
53,1547127380.223058,CRAvxb3IVSw7fUJlQf,192.168.1.197,50686.0,185.244.25.183,4975.0,tcp,-,3.101725,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Benign   -
54,1547127380.217067,CIWgch3SbOiCe0VIIb,192.168.1.197,51934.0,192.168.1.1,53.0,udp,dns,0.005496,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
55,1547127387.404699,CaVFAqvyfoAkyUHS,192.168.1.197,50686.0,185.244.25.183,4975.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
56,1547127390.224599,Ce23a93ZgS4W8WQXn5,192.168.1.197,52285.0,192.168.1.1,53.0,udp,dns,0.000482,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
57,1547127395.644741,ClPkpK1DmfshyrEAmj,192.168.1.197,57858.0,104.27.166.125,80.0,tcp,http,0.087436,146,680,SF,-,-,0.0,ShADadFf,6.0,406.0,4.0,852.0,-   Benign   -
58,1547127341.008261,CgqC2r3myKSRfnvXz5,192.168.1.197,123.0,147.231.100.5,123.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,76.0,0.0,0.0,-   Benign   -
59,1547127391.269233,C7b5BlmU6qBGsV6oh,192.168.1.197,35608.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
60,1547127395.302924,CGAhiEXSl5N76wqmg,192.168.1.197,39148.0,192.168.1.1,53.0,udp,dns,0.000499,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
61,1547127399.598714,CQAuTu1fovVc9eM38g,192.168.1.197,50698.0,185.244.25.183,4975.0,tcp,-,1.015171,52,124,RSTR,-,-,0.0,ShAdfDr,5.0,320.0,4.0,328.0,-   Benign   -
62,1547127396.385056,ChoVr315Rexm9ygOYa,192.168.1.197,45794.0,192.168.1.1,53.0,udp,dns,0.000497,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
63,1547127397.454949,CEinH53mDHa9IfOcLg,192.168.1.197,43327.0,192.168.1.1,53.0,udp,dns,0.001742,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
64,1547127399.597967,CWusiQU9RYczxTucl,192.168.1.197,49618.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
65,1547127404.801737,CmjqwY3niHxmraTWGl,192.168.1.197,50706.0,185.244.25.183,4975.0,tcp,-,3.082988,0,0,S0,-,-,0.0,S,3.0,180.0,0.0,0.0,-   Benign   -
66,1547127400.599645,Cw2oyLC4PLoorUvuj,192.168.1.197,33167.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
67,1547127402.710186,CDWFmzd1Q4x1IxY2a,192.168.1.197,44613.0,192.168.1.1,53.0,udp,dns,0.000499,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
68,1547127403.743844,Clb7MoSKlJuCOrhFd,192.168.1.197,41991.0,192.168.1.1,53.0,udp,dns,0.000499,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
69,1547127404.800990,CNsrUp2g39DaVFkmM3,192.168.1.197,59638.0,192.168.1.1,53.0,udp,dns,0.000498,29,45,SF,-,-,0.0,Dd,1.0,57.0,1.0,73.0,-   Benign   -
70,1547127411.964651,CY3RFzHclcesbuZac,192.168.1.197,50706.0,185.244.25.183,4975.0,tcp,-,-,-,-,S0,-,-,0.0,S,1.0,60.0,0.0,0.0,-   Benign   -
